account,date,amount,category
Card ending 4254,44858,-8.58,Telephone & Internet
Card ending 3317,45107,-10.8,Management fees
Card ending 3317,45100,-10.8,Sales
Card ending 3317,45100,-10.0,Staff training
Card ending 3317,45097,-10.8,Freight and Cartage
Card ending 3317,45085,-14.8,PAYG withhheld paid 
Card ending 3317,45071,-10.8,Bank Account 2
Card ending 3317,45068,-10.0,Filing fees
Card ending 3317,45068,-4.8,Bank Account 2
Card ending 3317,45054,-10.0,Income tax on profit
Card ending 3317,45009,-17.8,Fine 
Card ending 3317,45007,-14.8,Commissions received
Card ending 3317,44915,-16.8,Parking 
Card ending 4254,44894,-13.3,Licences and Permits
Card ending 4254,44853,-10.3,Staff amenities
Card ending 4254,44789,-4.3,Rent
Card ending 4254,44767,-26.8,Chattle mortgage repayment
Card ending 4254,44760,-13.3,Meals
Card ending 3317,44963,-4.7,Shares in other companies (Listed)
Card ending 3317,44994,-0.51,Transfer between accounts suspense
Card ending 4254,44858,-8.9,PAYG income instalment payable 
Card ending 3317,44911,-100.49,Amortisation expense
Card ending 4254,44769,-5.0,Superannuation expense
Card ending 3317,45064,-19.67,Accomodation
Card ending 3317,45103,-5.0,Public Transport
Card ending 3317,45048,-21.0,Penalty 
Card ending 3317,44991,-9.25,Rent
Card ending 4254,44760,-13.0,Staff training
Card ending 3317,44904,-7.2,Issued & paid up capital
Card ending 3317,44918,-16.8,Meals
Card ending 3317,44914,-10.0,Amortisation expense
Card ending 3317,45034,-10.2,Taxi
Card ending 4254,44750,-14.1,Distribution from trusts
Card ending 3317,45042,-43.0,Travel - domestic
Card ending 4254,44859,-17.5,Bank fees & charges
Card ending 4254,44858,-18.0,Internet
Card ending 4254,44858,-15.0,Payroll tax paid 
Card ending 4254,44858,-5.0,Fine 
Card ending 3317,45028,-17.71,Chattle mortgage repayment
Card ending 4254,44824,-10.12,PAYG income instalment payable 
Card ending 4254,44824,-4.25,PAYG income instalment payable 
Card ending 3317,44937,-5.0,Bank Account 2
Card ending 4254,44827,-4.5,Car loan repayment
Card ending 4254,44804,-7.3,Telephone & Internet
Card ending 4254,44753,-21.7,Councl rates
Card ending 3317,45042,-22.99,Less: Accumulated amortisation
Card ending 3317,44956,-22.5,Electricity
Card ending 4254,44811,-4.5,Lease Payments
Card ending 4254,44810,-59.0,Issued & paid up capital
Card ending 4254,44757,-34.5,Penalty 
Card ending 3317,45068,-9.31,Stock purchases (GST)
Card ending 4254,44839,-15.6,GST paid/collected
Card ending 3317,44981,-34.0,Bank Account 3
Card ending 3317,44918,-51.8,Merchant fees
Card ending 3317,45065,-27.4,Depreciation
Card ending 4254,44860,-56.8,Rates & land taxes
Card ending 4254,44748,-63.9,GST paid/collected
Card ending 3317,45013,-20.79,Internet
Card ending 3317,45078,-11.7,Director's Loans
Card ending 3317,44984,-20.9,Laundry
Card ending 3317,44963,-43.8,Postage
Card ending 3317,44960,-25.9,Drawings
Card ending 3317,44914,-4.9,Postage
Card ending 3317,45070,-6.8,Stock purchases (GST)
Card ending 3317,44916,-558.0,Trade creditors
Card ending 3317,44904,-19.9,PAYG withhheld paid 
Card ending 3317,45072,-20.5,Stock purchases (GST)
Card ending 3317,45050,-13.9,Hire purhcase repayment
Card ending 4254,44859,-24.26,Website related expense
Card ending 3317,45061,-9.64,Car loan repayment
Card ending 4254,44750,-8.12,Payroll tax paid 
Card ending 4254,44824,-86.8,Preliminary expenses
Card ending 4254,44823,-31.9,Payroll tax paid 
Card ending 3317,45047,-21.55,Freight and Cartage
Card ending 3317,45047,-13.95,Cleaning & rubbish removal
Card ending 3317,45040,-38.64,Purchase (Stock) - GST
Card ending 3317,45107,-4.35,Telephone
Card ending 4254,44852,-78.16,Shares in other companies (Unlisted)
Card ending 4254,44797,-13.3,Shares in other companies (Listed)
Card ending 3317,44929,-15.5,GST paid/collected
Card ending 3317,44915,-12.85,Amenities
Card ending 4254,44900,-12.85,Shares in other companies (Listed)
Card ending 4254,44893,-36.0,Motor Vehicle Expenses
Card ending 3317,44942,-8.0,Undistributed Income
Card ending 4254,44818,-13.15,Interest paid
Card ending 4254,44818,-3.1,Director Loan
Card ending 4254,44859,-18.0,ATO payment suspense
Card ending 4254,44859,-1.0,Trade creditors
Card ending 3317,44911,-3.45,Books
Card ending 4254,44810,-23.2,Bank transfers suspense
Card ending 4254,44774,-17.8,Motor Vehicle Expenses
Card ending 4254,44768,-4.6,Undistributed Income
Card ending 4254,44897,-18.05,Uniform 
Card ending 3317,44978,-20.85,MVE
Card ending 3317,44942,-4.75,Deposit from Customer (Liability)
Card ending 3317,44939,-5.1,Insurance
Card ending 4254,44873,-12.85,Consulting fees
Card ending 4254,44831,-4.75,Deposit from Customer (Liability)
Card ending 3317,45107,-19.7,Computers 
Card ending 4254,44790,-17.95,Public Transport
Card ending 4254,44767,-52.7,ASIC fees
Card ending 3317,45016,-37.0,Bank fees & charges
Card ending 3317,44974,-40.3,ATO payment suspense
Card ending 3317,44965,-28.0,Staff amenities
Card ending 4254,44866,-57.8,Bank Account 2
Card ending 4254,44866,-28.1,Stock purchases (GST)
Card ending 4254,44861,-36.17,Subscriptions
Card ending 4254,44860,-4.14,Undistributed Income
Card ending 4254,44880,-19.89,Commissions received
Card ending 3317,45048,-12.9,Preliminary expenses
Card ending 4254,44777,-10.19,Laundry
Card ending 4254,44858,-27.0,Materials & supplies
Card ending 4254,44855,-18.0,Car loan repayment
Card ending 4254,44855,-9.0,PAYG income instalment payable 
Card ending 4254,44812,-13.95,Staff training
Card ending 4254,44872,-69.1,Fine 
Card ending 4254,44803,-35.27,Director's Loans
Card ending 3317,45021,-5.0,Less: Accumulated amortisation
Card ending 3317,44914,-45.07,Drawings
Card ending 3317,45070,-28.88,Advertising & promotion
Card ending 3317,44946,-68.04,Postage
Card ending 4254,44866,-17.95,Suspense
Card ending 4254,44865,-4.5,Printing & stationery
Card ending 4254,44754,-7.95,Rent
Card ending 3317,44999,-11.65,Management fees
Card ending 3317,44987,-20.3,Interest paid
Card ending 3317,45082,-6.5,Travel - domestic
Card ending 3317,45062,-22.5,Income tax on profit
Card ending 4254,44788,-13.54,PAYG income instalment payable 
Card ending 3317,44907,-20.2,Computers 
Card ending 4254,44790,-25.78,Income Tax Payable
Card ending 4254,44851,-28.4,Undistributed Income
Card ending 4254,44851,-28.3,Commissions received
Card ending 4254,44749,-68.0,Superannuation expense
Card ending 4254,44747,-13.4,Subscriptions
Card ending 4254,44858,-25.38,Advertising & promotion
Card ending 4254,44855,-16.24,Income tax on profit
Card ending 4254,44869,-82.01,M/V related expense
Card ending 4254,44851,-23.0,Accounting fee
Card ending 4254,44833,-15.0,Depreciation
Card ending 4254,44783,-27.0,Bank Account 3
Card ending 4254,44746,-27.0,BAS payment suspense
Card ending 4254,44746,-16.26,Printing & stationery
Card ending 4254,44816,-22.31,Office supplies
Card ending 3317,44918,-28.8,Interest paid
Card ending 3317,44914,-25.41,Amenities
Card ending 4254,44865,-9.66,Staff training
Card ending 4254,44893,-12.2,PAYG income instalmet paid 
Card ending 3317,44923,-14.74,Income tax on profit
Card ending 3317,44981,-5.0,Advertising & promotion
Card ending 3317,45075,-24.4,Director Loan
Card ending 3317,45014,-19.8,Licences and Permits
Card ending 3317,44974,-9.9,Sales
Card ending 4254,44754,-5.0,Travel - domestic
Card ending 4254,44746,-9.3,Materials & supplies
Card ending 4254,44834,-10.17,Superannuation payable
Card ending 4254,44834,-4.07,Telephone & Internet
Card ending 3317,45035,-5.0,Contribution by settlor
Card ending 3317,45027,-5.0,Issued & paid up capital
Card ending 4254,44781,-28.5,Contract payments
Card ending 4254,44791,-4.2,Accounting fee
Card ending 4254,44895,-98.0,Entertainment
Card ending 3317,45022,-85.0,Director Loan
Card ending 3317,44945,-5.0,Superannuation payable
Card ending 4254,44860,-8.4,Director Loan
Card ending 4254,44743,-8.4,Councl rates
Card ending 3317,45040,-36.0,Amenities
Card ending 3317,45040,-28.2,Telephone
Card ending 3317,45040,-20.0,Trade debtors
Card ending 4254,44812,-6.6,Interest received
Card ending 3317,44942,-21.6,Cash on hand
Card ending 3317,45075,-5.2,Hire purhcase repayment
Card ending 4254,44900,-13.6,Travel - domestic
Card ending 3317,45070,-13.8,Payroll tax paid 
Card ending 3317,44986,-9.85,Insurance
Card ending 3317,44949,-19.45,Lease Payments
Card ending 3317,44942,-14.7,Repairs & maintenance
Card ending 3317,44909,-14.95,MVE
Card ending 3317,44909,-11.35,Shares in other companies (Listed)
Card ending 4254,44900,-14.95,Low cost assets
Card ending 4254,44897,-14.95,Superannuation payable
Card ending 4254,44879,-13.45,FBT contribution 
Card ending 4254,44876,-14.95,PAYG withheld payable
Card ending 4254,44876,-9.1,Tools
Card ending 4254,44875,-10.6,Stock purchases (GST)
Card ending 4254,44874,-14.95,Filing fees
Card ending 4254,44862,-15.65,Superannuation payable
Card ending 4254,44820,-17.15,Management fees
Card ending 4254,44812,-14.65,Shares in other companies (Listed)
Card ending 3317,44977,-10.2,FBT contribution 
Card ending 4254,44886,-34.0,ATO payment suspense
Card ending 4254,44832,-25.3,Purchase (Stock) - GST
Card ending 4254,44750,-10.12,Rates & land taxes
Card ending 3317,45107,-37.55,Rent
Card ending 4254,44865,-101.0,Superannuation payable
Card ending 3317,44925,-8.2,Tools
Card ending 4254,44865,-7.5,Purchase (Stock) - GST Free
Card ending 3317,44956,-221.0,Distribution from trusts
Card ending 3317,44916,-240.0,Fax
Card ending 4254,44893,-112.84,Taxi
Card ending 3317,44949,-5.0,Amenities
Card ending 3317,44942,-132.31,Bank transfers suspense
Card ending 4254,44832,-12.64,Shares in other companies (Listed)
Card ending 4254,44832,-3.54,M/V related expense
Card ending 4254,44830,-85.95,Conference/Seminar costs
Card ending 4254,44802,-66.2,Rent on land & buildings
Card ending 4254,44838,-109.2,Issued & paid up capital
Card ending 3317,45054,-110.23,Cleaning & rubbish removal
Card ending 4254,44837,-11.0,Repairs & maintenance
Card ending 4254,44894,-20.4,Uniform 
Card ending 4254,44802,-249.9,FBT contribution 
Card ending 4254,44830,-96.52,Director's Loans
Card ending 4254,44830,-93.6,BAS payment suspense
Card ending 3317,44972,-27.4,Issued & paid up capital
Card ending 3317,44956,-5.0,Interest paid
Card ending 3317,45051,-15.71,Superannuation payable
Card ending 3317,44953,-40.6,Chattle mortgage repayment
Card ending 4254,44872,-27.91,Tools
Card ending 4254,44890,-21.9,Tolls
Card ending 4254,44827,-21.9,Director's Loans
Card ending 4254,44767,-21.9,Bank Account 2
Card ending 4254,44761,-21.9,Sales
Card ending 3317,45042,-88.48,Transfer between accounts suspense
Card ending 4254,44879,-42.63,Bank Account 3
Card ending 4254,44806,-67.9,Cash on hand
Card ending 4254,44866,-112.5,Tools
Card ending 4254,44838,-11.0,Rent on land & buildings
Card ending 4254,44838,-3.85,Insurance
Card ending 3317,45103,-78.51,PAYG income instalment payable 
Card ending 3317,45040,-94.35,Bank Account 3
Card ending 3317,44944,-45.38,Depreciation
Card ending 3317,45062,-65.65,Trade creditors
Card ending 4254,44854,-119.26,Rent on land & buildings
Card ending 4254,44848,-37.35,GST payable control account
Card ending 3317,44967,-108.5,Amortisation expense
Card ending 3317,44931,-64.5,Meals & Entertainment
Card ending 4254,44859,-33.5,Accounting fee
Card ending 3317,44970,-9.3,Sales
Card ending 3317,45040,-12.99,Taxi
Card ending 3317,45027,-11.67,Parking 
Card ending 3317,44951,-8.12,Purchase (Stock) - GST Free
Card ending 3317,44923,-11.5,Director's Loans
Card ending 4254,44830,-4.8,Professional Development
Card ending 3317,45083,-7.99,Stock purchases (GST)
Card ending 4254,44858,-15.4,Printing & stationery
Card ending 3317,44974,-12.0,Director's Loans
Card ending 3317,44924,-170.48,Councl rates
Card ending 3317,44923,-153.19,Telephone & Internet
Card ending 4254,44747,-63.65,Councl rates
Card ending 4254,44893,-425.0,Hire purhcase repayment
Card ending 4254,44893,-425.0,Materials & supplies
Card ending 4254,44893,-340.0,Clients gift
Card ending 4254,44893,-255.0,Tools
Card ending 3317,45056,-17.0,Bank transfers suspense
Card ending 3317,45021,-40.34,Postage
Card ending 3317,45016,-5.8,Councl rates
Card ending 3317,44960,-150.65,Legal fees
Card ending 3317,44953,-33.2,Bank Account 3
Card ending 3317,44935,-12.8,Trade creditors
Card ending 3317,44923,-2070.5,Accomodation
Card ending 3317,44908,-2085.0,Bank Account 2
Card ending 3317,44908,-425.0,Trade debtors
Card ending 3317,44908,-425.0,Fax
Card ending 3317,44908,-425.0,Legal fees
Card ending 4254,44902,-100.0,Fax
Card ending 4254,44900,-69.8,Shares in other companies (Unlisted)
Card ending 4254,44865,-96.53,Office supplies
Card ending 4254,44816,-34.18,Less: Accumulated depreciation
Card ending 4254,44796,-129.15,Penalty 
Card ending 4254,44778,-28.15,Education
Card ending 4254,44767,-2.6,Councl rates
Card ending 4254,44756,-25.05,Issued & paid up capital
Card ending 4254,44754,-19.5,Rent
Card ending 3317,44907,-276.05,Professional Development
Card ending 4254,44893,-425.0,Motor Vehicle Expenses
Card ending 4254,44823,-25.15,PAYG income instalment payable 
Card ending 3317,45040,-61.55,Printing & stationery
Card ending 3317,45097,-22.5,Contribution by settlor
Card ending 3317,45055,-13.65,Bank Account 1
Card ending 3317,45035,-22.0,Printing & stationery
Card ending 4254,44811,-113.25,Low cost assets
Card ending 4254,44746,-2.69,Materials & supplies
Card ending 3317,45106,-4.0,Education
Card ending 3317,45036,-11.85,Income Tax Payable
Card ending 3317,45100,-96.05,Merchant fees
Card ending 4254,44858,-11.98,Electricity
Card ending 4254,44896,-34.51,Repairs & maintenance
Card ending 3317,45061,-13.3,Wate rates
Card ending 3317,45016,-16.3,Chattle mortgage repayment
Card ending 4254,44749,-8.62,Materials & supplies
Card ending 3317,44916,-21.99,Wages
Card ending 4254,44834,-41.32,Telephone
Card ending 4254,44750,-1.75,Filing fees
Card ending 4254,44879,-7.5,Merchant fees
Card ending 3317,44971,-6.0,Issued & paid up capital
Card ending 3317,44942,-18.25,EFTPOS fees
Card ending 4254,44746,-3.8,Commissions received
Card ending 4254,44854,-9.97,Management fees
Card ending 4254,44858,-47.0,Purchase (Stock) - GST
Card ending 4254,44837,-19.85,Low cost assets
Card ending 3317,44949,-29.44,Shares in other companies (Unlisted)
Card ending 4254,44824,-26.76,Directors fees
Card ending 3317,44909,-689.0,Undistributed Income
Card ending 3317,45027,-4.8,Cleaning & rubbish removal
Card ending 3317,44992,-4.77,Meals & Entertainment
Card ending 4254,44845,-28.0,Preliminary expenses
Card ending 3317,45099,-14.16,SBE Pool
Card ending 4254,44749,-4.95,Tolls
Card ending 4254,44816,-309.06,Councl rates
Card ending 3317,45056,-125.0,Bank Account 1
Card ending 3317,45056,-125.0,Bank fees & charges
Card ending 3317,45056,-125.0,Accomodation
Card ending 4254,44852,-25.0,Contract payments
Card ending 3317,45020,-8.16,Less: Accumulated amortisation
Card ending 3317,44929,-4.08,Entertainment
Card ending 4254,44893,-4.08,Fine 
Card ending 3317,44925,-35.44,Issued & paid up capital
Card ending 3317,45027,-15.0,Commissions received
Card ending 3317,45007,-79.2,Rent on land & buildings
Card ending 3317,45006,-4.32,Director's Loans
Card ending 3317,45068,-19.25,Director Loan
Card ending 3317,45012,-3.8,Director Loans
Card ending 4254,44893,-100.0,GST payable control account
Card ending 3317,45042,-31.7,EFTPOS fees
Card ending 3317,45040,-125.95,Fine 
Card ending 4254,44854,-55.05,Meals
Card ending 4254,44830,-46.85,Amortisation expense
Card ending 4254,44830,-20.83,PAYG income instalment payable 
Card ending 4254,44827,-240.59,Stock purchases (GST)
Card ending 3317,45070,-74.6,Freight and Cartage
Card ending 3317,45005,-43.35,PAYG income instalmet paid 
Card ending 3317,45027,-15.95,PAYG withhheld paid 
Card ending 3317,45075,-28.53,Website related expense
Card ending 4254,44750,-90.0,Amortisation expense
Card ending 3317,45076,-62.05,Utilities
Card ending 3317,45028,-32.46,Telephone & Internet
Card ending 3317,45020,-38.99,Training
Card ending 4254,44852,-124.93,Meals & Entertainment
Card ending 4254,44778,-107.48,Staff training
Card ending 3317,44992,-50.97,Payroll tax paid 
Card ending 4254,44767,-78.47,Electricity
Card ending 4254,44767,-22.95,Laundry
Card ending 3317,44916,-8.44,Management fees
Card ending 3317,45015,-10.0,Meals
Card ending 3317,44907,-10.0,Director Loan
Card ending 3317,44949,-208.01,PAYG withhheld paid 
Card ending 4254,44763,-38.26,Purchase (Stock) - GST Free
Card ending 3317,44942,-34.33,Meals & Entertainment
Card ending 3317,44938,-72.15,Management fees
Card ending 4254,44813,-390.0,Accounting fee
Card ending 3317,45070,-2.63,Parking 
Card ending 3317,44907,-6.8,Chattle mortgage repayment
Card ending 4254,44802,-4.6,Sales
Card ending 4254,44792,-6.7,Bank fees & charges
Card ending 4254,44762,-2.95,Preliminary expenses
Card ending 3317,45079,-17.9,Chattle mortgage repayment
Card ending 3317,45048,-17.9,BAS payment suspense
Card ending 3317,45019,-17.9,Interest received
Card ending 3317,44987,-17.9,Meals and Entertainment
Card ending 3317,44959,-17.9,Cleaning & rubbish removal
Card ending 3317,44943,-17.9,Fax
Card ending 4254,44897,-17.9,Depreciation
Card ending 4254,44867,-17.9,Tolls
Card ending 4254,44837,-17.9,Purchase (Stock) - GST Free
Card ending 4254,44806,-17.9,Staff amenities
Card ending 4254,44792,-29.9,Superannuation expense
Card ending 4254,44775,-17.9,Interest received
Card ending 4254,44746,-17.9,GST paid/collected
Card ending 4254,44881,-315.0,Income Tax paid/refund
Card ending 4254,44867,-5276.78,Less: Accumulated amortisation
Card ending 4254,44867,-201.04,Director Loans
Card ending 4254,44847,-4971.74,Wate rates
Card ending 4254,44809,-805.2,Internet
Card ending 4254,44809,-194.68,ASIC fees
Card ending 4254,44882,-190.0,Merchant fees
Card ending 4254,44881,-200.5,Consulting fees
Card ending 4254,44823,-17.0,Issued & paid up capital
Card ending 3317,44923,-159.3,Parking
Card ending 3317,45096,-68.89,Books
Card ending 4254,44841,-19.45,Bank Account 3
Card ending 4254,44756,-43.81,Chattle mortgage repayment
Card ending 3317,45100,-127.0,Electricity
Card ending 3317,45027,-966.9,Shares in other companies (Unlisted)
Card ending 4254,44803,-116.85,Staff amenities
Card ending 4254,44823,-271.0,Clients gift
Card ending 4254,44802,-178.0,Tolls
Card ending 4254,44753,-1164.97,Books
Card ending 3317,44935,-67.99,Income Tax paid/refund
Card ending 3317,44929,-99.0,Superannuation payable
Card ending 4254,44881,-749.0,Lease Payments
Card ending 4254,44818,300.0,Printing & stationery
Card ending 4254,44867,201.04,Legal fees
Card ending 4254,44867,4971.74,Printing & stationery
Card ending 3317,44907,6.25,Taxi
Card ending 4254,44832,59.0,Materials & supplies
Card ending 4254,44887,110.27,PAYG withhheld paid 
Card ending 3317,45027,4.8,Fax
Card ending 4254,45000,465.0,Insurance
Card ending 3317,44956,-156.0,Shares in other companies (Listed)
Card ending 3317,45083,-199.0,Freight and Cartage
Card ending 3317,45083,-50.0,Deposit from Customer (Liability)
Card ending 3317,45070,-6919.33,Utilities
Card ending 3317,44923,-99.0,PAYG income instalment payable 
Card ending 4254,44889,-99.0,Contribution by settlor
Card ending 4254,44858,-99.0,Cash on hand
Card ending 4254,44830,-99.0,Amortisation expense
Card ending 4254,44797,-49.5,Accomodation
Card ending 4254,44767,-49.5,Cleaning & rubbish removal
Card ending 3317,45057,-836.0,Licences and Permits
Card ending 3317,45063,-19.95,Management fees
Card ending 3317,44993,-98.9,Contract payments
Card ending 3317,44972,-240.0,M/V related expense
Card ending 4254,44748,-118.8,Wages
Card ending 3317,44916,-110.0,GST paid/collected
Card ending 4254,44827,-545.1,Depreciation
Card ending 4254,44805,-2750.0,Trade creditors
Card ending 4254,44804,-148.5,Contribution by settlor
Card ending 3317,44981,-179.0,Amortisation expense
Card ending 4254,44764,-790.0,Taxi
Card ending 3317,45082,-4.5,Insurance
Card ending 3317,44963,-339.0,Wages
Card ending 3317,45098,-32.14,BAS payment suspense
Card ending 3317,45084,-67.83,Income Tax Payable
Card ending 3317,45077,-56.74,Laundry
Card ending 3317,45071,-62.95,Bank fees & charges
Card ending 3317,45068,-32.14,Issued & paid up capital
Card ending 3317,45051,-61.28,Bank Account 2
Card ending 3317,45036,-32.14,Consulting fees
Card ending 3317,45029,-55.75,Travel - domestic
Card ending 3317,45008,-67.15,Suspense
Card ending 3317,45006,-32.14,Professional Development
Card ending 3317,44978,-32.14,Travel - international 
Card ending 3317,44977,-63.17,Purchase (Stock) - GST Free
Card ending 3317,44946,-32.14,Parking 
Card ending 3317,44930,-60.73,Laundry
Card ending 3317,44916,-27.71,Director Loans
Card ending 4254,44887,-88.27,Purchase (Stock) - GST
Card ending 4254,44854,-83.23,PAYG income instalment payable 
Card ending 4254,44824,-27.71,Purchase (Stock) - GST
Card ending 4254,44823,-56.08,Tools
Card ending 4254,44795,-27.71,Goodwill
Card ending 4254,44774,-57.79,Directors fees
Card ending 4254,44762,-27.71,Shares in other companies (Listed)
Card ending 3317,44917,-71.45,Income tax on profit
Card ending 3317,44956,-132.1,Depreciation
Card ending 3317,44985,-346.5,Uniform 
Card ending 3317,45093,-40.0,Preliminary expenses
Card ending 3317,45063,-40.0,Cleaning & rubbish removal
Card ending 3317,45033,-40.0,Stock purchases (GST)
Card ending 3317,45001,-40.0,Website related expense
Card ending 3317,44973,-40.0,PAYG income instalment payable 
Card ending 3317,44942,-40.0,Stock purchases (GST)
Card ending 3317,44911,-40.0,Sales
Card ending 4254,44876,-40.0,Less: Accumulated amortisation
Card ending 4254,44841,-40.0,Transfer between accounts suspense
Card ending 4254,44811,-40.0,Tolls
Card ending 4254,44781,-40.0,Contribution by settlor
Card ending 4254,44749,-40.0,Merchant fees
Card ending 4254,44879,-140.97,Bank Account 2
Card ending 4254,44750,-91.66,Postage
Card ending 4254,44746,-25.67,Stock purchases (GST)
Card ending 4254,44767,-30.25,Motor Vehicle Expenses
Card ending 4254,44775,-20.0,Staff training
Card ending 4254,44796,-39.03,Meals and Entertainment
Card ending 4254,44806,-20.0,Goodwill
Card ending 4254,44827,-30.0,Books
Card ending 4254,44837,-20.0,Tolls
Card ending 4254,44858,-30.0,Books
Card ending 4254,44867,-20.0,Subscriptions
Card ending 4254,44888,-30.0,Chattle mortgage repayment
Card ending 4254,44897,-20.0,Motor Vehicle Expenses
Card ending 3317,44918,-35.48,Payroll tax paid 
Card ending 3317,44929,-12.58,Lease Payments
Card ending 3317,44949,-34.52,Motor Vehicle Expenses
Card ending 3317,44960,-10.0,Staff amenities
Card ending 3317,44980,-30.0,Training
Card ending 3317,44987,-10.0,Director's Loans
Card ending 3317,45008,-30.0,Undistributed Income
Card ending 3317,45019,-10.0,Director Loan
Card ending 3317,45040,-30.0,Telephone
Card ending 3317,45048,-10.0,Telephone
Card ending 3317,45069,-30.0,Payroll tax paid 
Card ending 3317,45079,-22.26,Sales
Card ending 3317,45100,-32.67,Director Loans
Card ending 3317,45103,-79.0,Fax
Card ending 3317,45068,-32.25,Suspense
